"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"UDG"	"Genotype_Ploidy"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA6793029"	"PRJEB36854"	"ERR4057231"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-44-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/001/ERR4057231/ERR4057231.fastq.gz"	1595536788	"39104ea215e18de2b01a01ca1b239be6"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4057231/ERR4057231.fastq.gz"	27261845	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057231/ARD2-A-EX3-UDG1-44-PCR1-Hi7.fastq.gz"
"SAMEA6793029"	"PRJEB36854"	"ERR4057232"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-72-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/002/ERR4057232/ERR4057232.fastq.gz"	1545322745	"8a8a1a4b3dcfa06b3b7f7aafbffb188e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4057232/ERR4057232.fastq.gz"	26405546	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057232/ARD2-A-EX3-UDG1-72-PCR1-Hi7.fastq.gz"
"SAMEA6793029"	"PRJEB36854"	"ERR4057233"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-73-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/003/ERR4057233/ERR4057233.fastq.gz"	1412481443	"11c26f28aa6b9d59ab05fe6b0c0c9785"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4057233/ERR4057233.fastq.gz"	24253783	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057233/ARD2-A-EX3-UDG1-73-PCR1-Hi7.fastq.gz"
"SAMEA6793029"	"PRJEB36854"	"ERR4057234"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-75-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/004/ERR4057234/ERR4057234.fastq.gz"	1553213965	"7b88bd43c9f2af3b3abf3884a8dbd3aa"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4057234/ERR4057234.fastq.gz"	26792694	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057234/ARD2-A-EX3-UDG1-75-PCR1-Hi7.fastq.gz"
"SAMEA6793029"	"PRJEB36854"	"ERR4057235"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-82-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/005/ERR4057235/ERR4057235.fastq.gz"	1907272372	"060e3c859c3370fc8f81823794e2f9d2"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4057235/ERR4057235.fastq.gz"	31844796	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057235/ARD2-A-EX3-UDG1-82-PCR1-Hi7.fastq.gz"
"SAMEA6793029"	"PRJEB36854"	"ERR4057236"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-83-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/006/ERR4057236/ERR4057236.fastq.gz"	2216694703	"ed620f6aba43ce557670f62a5af328c7"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4057236/ERR4057236.fastq.gz"	36726024	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057236/ARD2-A-EX3-UDG1-83-PCR1-Hi7.fastq.gz"
"SAMEA6793029"	"PRJEB36854"	"ERR4057237"	"ARD2"	"ARD2"	"plus"	"haploid"	"ERS4520700"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-84-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/007/ERR4057237/ERR4057237.fastq.gz"	1613138613	"59222d8495e9df06581c6f94de2f7589"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4057237/ERR4057237.fastq.gz"	26720571	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057237/ARD2-A-EX3-UDG1-84-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057238"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina MiSeq"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-LIB1-62-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/008/ERR4057238/ERR4057238.fastq.gz"	9047811	"75aeb07c6af3be80ebe1e7f2cf018299"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4057238/ERR4057238.fastq.gz"	166885	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057238/ASH1-B-EX3-LIB1-62-PCR1-Mi10.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057239"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-133-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/009/ERR4057239/ERR4057239.fastq.gz"	1726092715	"de54e94407a9be75dfcecff73bdbc233"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4057239/ERR4057239.fastq.gz"	30333264	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057239/ASH1-B-EX3-UDG1-133-PCR1-Hi10-Lane05.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057240"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-133-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/000/ERR4057240/ERR4057240.fastq.gz"	1815134231	"aba89688295dd5da77c75248dcd3537f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4057240/ERR4057240.fastq.gz"	31943740	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057240/ASH1-B-EX3-UDG1-133-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057241"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-134-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/001/ERR4057241/ERR4057241.fastq.gz"	1452614314	"ab81b0c2f3172485300e823390598c82"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4057241/ERR4057241.fastq.gz"	25576387	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057241/ASH1-B-EX3-UDG1-134-PCR1-Hi10-Lane05.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057242"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-134-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/002/ERR4057242/ERR4057242.fastq.gz"	1532856978	"2e65949e30342fbc12c0b19f5cf70aec"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4057242/ERR4057242.fastq.gz"	27012155	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057242/ASH1-B-EX3-UDG1-134-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057243"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-135-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/003/ERR4057243/ERR4057243.fastq.gz"	1566747656	"0091c318e9b322df0b9c0b7f2932ff7a"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4057243/ERR4057243.fastq.gz"	27482073	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057243/ASH1-B-EX3-UDG1-135-PCR1-Hi10-Lane05.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057244"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-135-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/004/ERR4057244/ERR4057244.fastq.gz"	1655952119	"b7345631e2c838b8703259c9d5278b12"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4057244/ERR4057244.fastq.gz"	29069003	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057244/ASH1-B-EX3-UDG1-135-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057245"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-136-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/005/ERR4057245/ERR4057245.fastq.gz"	1595006187	"c5ea54465394f940e1e9882daa2183ae"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4057245/ERR4057245.fastq.gz"	28024198	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057245/ASH1-B-EX3-UDG1-136-PCR1-Hi10-Lane05.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057246"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-136-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/006/ERR4057246/ERR4057246.fastq.gz"	1670746555	"0b4a82ff59c53eac09501c331ac76637"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4057246/ERR4057246.fastq.gz"	29375349	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057246/ASH1-B-EX3-UDG1-136-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057247"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-137-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/007/ERR4057247/ERR4057247.fastq.gz"	1028252961	"b7ff588d2e8cd4629e58dac88ffec8b1"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4057247/ERR4057247.fastq.gz"	17992751	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057247/ASH1-B-EX3-UDG1-137-PCR1-Hi10-Lane05.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057248"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-137-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/008/ERR4057248/ERR4057248.fastq.gz"	1076316909	"89eb753366617885c40f6e581c017829"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4057248/ERR4057248.fastq.gz"	18849770	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057248/ASH1-B-EX3-UDG1-137-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057249"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-138-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/009/ERR4057249/ERR4057249.fastq.gz"	1273745462	"bf8c7bbbda6a2fc7bc40358af3421e81"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4057249/ERR4057249.fastq.gz"	22496656	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057249/ASH1-B-EX3-UDG1-138-PCR1-Hi10-Lane05.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057250"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-138-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/000/ERR4057250/ERR4057250.fastq.gz"	1342073202	"f945a085bb790f1c9c4e2b182dd996de"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4057250/ERR4057250.fastq.gz"	23718896	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057250/ASH1-B-EX3-UDG1-138-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057251"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-139-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/001/ERR4057251/ERR4057251.fastq.gz"	2431095315	"f9d042845106165c01bef3058ce48234"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4057251/ERR4057251.fastq.gz"	42841885	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057251/ASH1-B-EX3-UDG1-139-PCR1-Hi10-Lane05.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057252"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-139-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/002/ERR4057252/ERR4057252.fastq.gz"	2580030933	"af5c9ab08817c7b1b3e0c01da78931eb"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4057252/ERR4057252.fastq.gz"	45524046	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057252/ASH1-B-EX3-UDG1-139-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057253"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-140-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/003/ERR4057253/ERR4057253.fastq.gz"	1606356826	"af8e2632e437423f3862e1f292752b10"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4057253/ERR4057253.fastq.gz"	28349349	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057253/ASH1-B-EX3-UDG1-140-PCR1-Hi10-Lane05.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057254"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-140-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/004/ERR4057254/ERR4057254.fastq.gz"	1717922145	"9dc40c5f4f210210e99b24b725eabcbd"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4057254/ERR4057254.fastq.gz"	30238487	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057254/ASH1-B-EX3-UDG1-140-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057255"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-35-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/005/ERR4057255/ERR4057255.fastq.gz"	1551447920	"a49f47ccba05f66cdbcb9a8583bc7688"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4057255/ERR4057255.fastq.gz"	26004198	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057255/ASH1-B-EX3-UDG1-35-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057256"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-36-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/006/ERR4057256/ERR4057256.fastq.gz"	1808457513	"a5831c648cb4c6cd6643a0ea0ed3b9d4"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4057256/ERR4057256.fastq.gz"	30382232	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057256/ASH1-B-EX3-UDG1-36-PCR1-Hi7.fastq.gz"
"SAMEA6793030"	"PRJEB36854"	"ERR4057257"	"ASH1"	"ASH1"	"plus"	"haploid"	"ERS4520701"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-UDG1-37-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/007/ERR4057257/ERR4057257.fastq.gz"	1302450011	"01c18eece9b42a27bbe89b186d8475b1"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4057257/ERR4057257.fastq.gz"	21766397	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057257/ASH1-B-EX3-UDG1-37-PCR1-Hi7.fastq.gz"
