"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"Library_Built"	"UDG"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA5229491"	"PRJEB30874"	"ERR3078286"	"I12030"	"I12030_published"	"ds"	"half"	"ERS3036932"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12030_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/006/ERR3078286/ERR3078286.fastq.gz"	8857670	"40c6c83c61a7100be376354bd0687439"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/006/ERR3078286/ERR3078286.fastq.gz"	303036	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078286/I12030_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078286/I12030_1240k.bam.bai"
"SAMEA5229492"	"PRJEB30874"	"ERR3078287"	"I12031"	"I12031"	"ds"	"half"	"ERS3036933"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12031_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/007/ERR3078287/ERR3078287.fastq.gz"	239112766	"cc593b3cf414d95363611b1c92d27583"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/007/ERR3078287/ERR3078287.fastq.gz"	8264538	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078287/I12031_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078287/I12031_1240k.bam.bai"
"SAMEA5229493"	"PRJEB30874"	"ERR3078288"	"I12032"	"I12032_published"	"ds"	"half"	"ERS3036934"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12032_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/008/ERR3078288/ERR3078288.fastq.gz"	50054592	"60f81adf6e639e6e4b7a79496ddb7588"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/008/ERR3078288/ERR3078288.fastq.gz"	1631066	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078288/I12032_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078288/I12032_1240k.bam.bai"
"SAMEA5229494"	"PRJEB30874"	"ERR3078289"	"I12033"	"I12033_published"	"ds"	"half"	"ERS3036935"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12033_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/009/ERR3078289/ERR3078289.fastq.gz"	8378924	"f251d3620ae0d6d4495cc489e3296e91"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/009/ERR3078289/ERR3078289.fastq.gz"	297261	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078289/I12033_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078289/I12033_1240k.bam.bai"
"SAMEA5229495"	"PRJEB30874"	"ERR3078290"	"I12034"	"I12034"	"ds"	"half"	"ERS3036936"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12034_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/000/ERR3078290/ERR3078290.fastq.gz"	196153219	"fddca23e8ce71dbd27a8eac42073bbdd"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/000/ERR3078290/ERR3078290.fastq.gz"	6301717	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078290/I12034_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078290/I12034_1240k.bam.bai"
"SAMEA5229496"	"PRJEB30874"	"ERR3078291"	"I12162"	"I12162"	"ds"	"half"	"ERS3036937"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12162_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/001/ERR3078291/ERR3078291.fastq.gz"	142430814	"a134ca1aa28129cc6250ecdccede5570"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/001/ERR3078291/ERR3078291.fastq.gz"	4846580	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078291/I12162_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078291/I12162_1240k.bam.bai"
"SAMEA5229497"	"PRJEB30874"	"ERR3078292"	"I12163"	"I12163"	"ds"	"half"	"ERS3036938"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12163_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/002/ERR3078292/ERR3078292.fastq.gz"	127834816	"8bc374b779fcf51746999e1ce761236f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/002/ERR3078292/ERR3078292.fastq.gz"	4217776	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078292/I12163_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078292/I12163_1240k.bam.bai"
"SAMEA5229498"	"PRJEB30874"	"ERR3078293"	"I12164"	"I12164_published"	"ds"	"half"	"ERS3036939"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I12164_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/003/ERR3078293/ERR3078293.fastq.gz"	9415277	"9eaf9faa8458894e06b127bfd07e2528"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/003/ERR3078293/ERR3078293.fastq.gz"	329951	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078293/I12164_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078293/I12164_1240k.bam.bai"
"SAMEA5229499"	"PRJEB30874"	"ERR3078294"	"I10851"	"I10851_published"	"ds"	"half"	"ERS3036940"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10851_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/004/ERR3078294/ERR3078294.fastq.gz"	10261826	"e25d502a9e2c489343b255d6e0b74ec0"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/004/ERR3078294/ERR3078294.fastq.gz"	306757	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078294/I10851_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078294/I10851_1240k.bam.bai"
"SAMEA5229500"	"PRJEB30874"	"ERR3078295"	"I10852"	"I10852_published"	"ds"	"half"	"ERS3036941"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10852_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/005/ERR3078295/ERR3078295.fastq.gz"	68769039	"9d1b31df8255acc8e1d182bba4911a8a"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/005/ERR3078295/ERR3078295.fastq.gz"	2211705	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078295/I10852_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078295/I10852_1240k.bam.bai"
"SAMEA5229501"	"PRJEB30874"	"ERR3078296"	"I10853"	"I10853_published"	"ds"	"half"	"ERS3036942"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10853_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/006/ERR3078296/ERR3078296.fastq.gz"	84649855	"60dbda6b2d1a77c6ac104c4b8fbffd11"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/006/ERR3078296/ERR3078296.fastq.gz"	3103656	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078296/I10853_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078296/I10853_1240k.bam.bai"
"SAMEA5229502"	"PRJEB30874"	"ERR3078297"	"I10854"	"I10854_published"	"ds"	"half"	"ERS3036943"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10854_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/007/ERR3078297/ERR3078297.fastq.gz"	1879365	"9b93656810396b7ef904a1253389e017"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/007/ERR3078297/ERR3078297.fastq.gz"	77131	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078297/I10854_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078297/I10854_1240k.bam.bai"
"SAMEA5229503"	"PRJEB30874"	"ERR3078298"	"I10892"	"I10892"	"ds"	"half"	"ERS3036944"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10892_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/008/ERR3078298/ERR3078298.fastq.gz"	162588461	"82aaaadf5def05b8eb2e37e70337c218"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/008/ERR3078298/ERR3078298.fastq.gz"	5019191	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078298/I10892_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078298/I10892_1240k.bam.bai"
"SAMEA5229504"	"PRJEB30874"	"ERR3078299"	"I10895"	"I10895"	"ds"	"half"	"ERS3036945"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10895_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/009/ERR3078299/ERR3078299.fastq.gz"	185135029	"2ce3fdb7fd6eda6b84144aecb4642bb8"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/009/ERR3078299/ERR3078299.fastq.gz"	5850593	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078299/I10895_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078299/I10895_1240k.bam.bai"
"SAMEA5229505"	"PRJEB30874"	"ERR3078300"	"I10897"	"I10897_published"	"ds"	"half"	"ERS3036946"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I10897_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/000/ERR3078300/ERR3078300.fastq.gz"	25079464	"22291b9e6abfa083cd7b1335ca98d1f3"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/000/ERR3078300/ERR3078300.fastq.gz"	832176	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078300/I10897_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078300/I10897_1240k.bam.bai"
"SAMEA5229280"	"PRJEB30874"	"ERR3078301"	"I3209"	"I3209"	"ds"	"half"	"ERS3036722"	2019-03-13	2019-01-19	"NextSeq 500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"I3209_1240k"	"OTHER"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR307/001/ERR3078301/ERR3078301.fastq.gz"	3398323	"7771a7db2ef1512c18d76c337d47549f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR307/001/ERR3078301/ERR3078301.fastq.gz"	90347	"ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078301/I3209_1240k.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR307/ERR3078301/I3209_1240k.bam.bai"
