"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA6462924"	"PRJEB36063"	"ERR3803832"	"MUN001"	"MUN001"	"ERS4228429"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"MUN001.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/002/ERR3803832/ERR3803832.fastq.gz"	83739451	"c0c1576c56a03fe62cd1d2a37999975c"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/002/ERR3803832/ERR3803832.fastq.gz"	2437028	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803832/MUN001.A0101.bam"
"SAMEA6462925"	"PRJEB36063"	"ERR3803833"	"KIN002"	"KIN002"	"ERS4228430"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"KIN002.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/003/ERR3803833/ERR3803833.fastq.gz"	107715852	"111c00adad5655f89a77bdee19598010"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/003/ERR3803833/ERR3803833.fastq.gz"	3528666	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803833/KIN002.A0101.bam"
"SAMEA6462926"	"PRJEB36063"	"ERR3803834"	"KIN003"	"KIN003"	"ERS4228431"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"KIN003.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/004/ERR3803834/ERR3803834.fastq.gz"	8209659	"365dbb667b125f4b87b29df55f5c8cb1"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/004/ERR3803834/ERR3803834.fastq.gz"	311444	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803834/KIN003.A0101.bam"
"SAMEA6462927"	"PRJEB36063"	"ERR3803835"	"KIN004"	"KIN004"	"ERS4228432"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"KIN004.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/005/ERR3803835/ERR3803835.fastq.gz"	140388964	"8d3ba7d49729713a49b1b4a38c23bb16"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/005/ERR3803835/ERR3803835.fastq.gz"	4653431	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803835/KIN004.A0101.bam"
"SAMEA6462928"	"PRJEB36063"	"ERR3803836"	"NGO001"	"NGO001"	"ERS4228433"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"NGO001.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/006/ERR3803836/ERR3803836.fastq.gz"	61985807	"a7dfdc346e525b0b33ebe030d8cdfe9b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/006/ERR3803836/ERR3803836.fastq.gz"	2020173	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803836/NGO001.A0101.bam"
"SAMEA6462929"	"PRJEB36063"	"ERR3803837"	"MTN001"	"MTN001"	"ERS4228434"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"MTN001.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/007/ERR3803837/ERR3803837.fastq.gz"	14543480	"14b8dcf6e49e670f5a94001c993c7164"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/007/ERR3803837/ERR3803837.fastq.gz"	499241	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803837/MTN001.A0101.bam"
"SAMEA6462930"	"PRJEB36063"	"ERR3803838"	"NQO002"	"NQO002"	"ERS4228435"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"NQO002.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/008/ERR3803838/ERR3803838.fastq.gz"	7287875	"3243dc84c7f968fa1fca2399fe828b97"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/008/ERR3803838/ERR3803838.fastq.gz"	294940	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803838/NQO002.A0101.bam"
"SAMEA6462931"	"PRJEB36063"	"ERR3803839"	"TAU001"	"TAU001"	"ERS4228436"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"TAU001.A0101; TAU001.B0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/009/ERR3803839/ERR3803839.fastq.gz"	10775633	"ce8ca5c0bccb6c5dc499855a29540b67"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/009/ERR3803839/ERR3803839.fastq.gz"	315202	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803839/TAU001.COMAB.bam"
"SAMEA6462932"	"PRJEB36063"	"ERR3803840"	"XAR001"	"XAR001"	"ERS4228437"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"XAR001.A0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/000/ERR3803840/ERR3803840.fastq.gz"	441304548	"c51d7b418ba28878ddc340cf2f7e8dfd"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/000/ERR3803840/ERR3803840.fastq.gz"	14248085	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803840/XAR001.A0101.bam"
"SAMEA6462933"	"PRJEB36063"	"ERR3803841"	"XAR002"	"XAR002"	"ERS4228438"	2020-06-12	2020-01-09	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"XAR002.A0101; XAR002.B0101"	"Targeted-Capture"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR380/001/ERR3803841/ERR3803841.fastq.gz"	179966838	"c06adb38237e51998e7866739a8a2768"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/001/ERR3803841/ERR3803841.fastq.gz"	5194672	"ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3803841/XAR002.COMAB.bam"
