sample_accession	study_accession	run_accession	sample_alias	secondary_sample_accession	first_public	last_updated	instrument_model	library_layout	library_source	instrument_platform	library_name	library_strategy	fastq_aspera	fastq_bytes	fastq_md5	fastq_ftp	read_count	submitted_ftp
SAMEA5382979	PRJEB31618	ERR3210411	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210411/ERR3210411_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210411/ERR3210411_2.fastq.gz	723652238;753828860	1251e11d2f94a476f46977282c5c6162;e1c171bf9ea302ebc823334a0bfcf8d8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210411/ERR3210411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210411/ERR3210411_2.fastq.gz	26763180	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210411/23138_2#4.cram
SAMEA5382980	PRJEB31618	ERR3210412	d9fd7b82-5c0d-11e7-86e3-68b599768938	ERS3189353	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105008W	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210412/ERR3210412_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210412/ERR3210412_2.fastq.gz	471012544;488507956	d6dd8972e4f21564a34a9ea31dbfafb2;6c1a269a97dc7ad9e51fc39f2a78ed1e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210412/ERR3210412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210412/ERR3210412_2.fastq.gz	17722652	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210412/23138_2#5.cram
SAMEA5382975	PRJEB31618	ERR3210413	da086272-5c0d-11e7-86e3-68b599768938	ERS3189348	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105010Q	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210413/ERR3210413_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210413/ERR3210413_2.fastq.gz	737967447;763453285	74cd715e236fdd129326047c3cf483ea;09a525e57ee4b758df4e1c51b19bec70	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210413/ERR3210413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210413/ERR3210413_2.fastq.gz	27357338	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210413/23138_2#7.cram
SAMEA5382982	PRJEB31618	ERR3210414	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210414/ERR3210414_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210414/ERR3210414_2.fastq.gz	612395034;627399523	be00e35fedf1d04d442c4367c404b648;aedf681b62af88e63d43da82eaff6dc3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210414/ERR3210414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210414/ERR3210414_2.fastq.gz	22213116	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210414/23138_2#8.cram
SAMEA5382984	PRJEB31618	ERR3210415	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210415/ERR3210415_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210415/ERR3210415_2.fastq.gz	796885930;816424339	e609717b4c27e34493a237f631d517c3;0c7654986ca99c872336debd200ba2e7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210415/ERR3210415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210415/ERR3210415_2.fastq.gz	29876514	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210415/23138_2#9.cram
SAMEA5382976	PRJEB31618	ERR3210416	d9e2e86c-5c0d-11e7-86e3-68b599768938	ERS3189349	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105004S	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210416/ERR3210416_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210416/ERR3210416_2.fastq.gz	621691620;652486607	9d75fd017339a00e29ce2ce7ecb2a40a;a5f6539b39825d5f671b53c9b5de9509	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210416/ERR3210416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210416/ERR3210416_2.fastq.gz	24010974	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210416/23169_1#1.cram
SAMEA5382977	PRJEB31618	ERR3210417	d9ebcc5c-5c0d-11e7-86e3-68b599768938	ERS3189350	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105005T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210417/ERR3210417_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210417/ERR3210417_2.fastq.gz	757631181;797446572	f8d1a5d993b566d515bf299287ba55f7;cac13deca727a2ee3a0315ea5bb65204	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210417/ERR3210417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210417/ERR3210417_2.fastq.gz	28864304	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210417/23169_1#2.cram
SAMEA5382978	PRJEB31618	ERR3210418	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210418/ERR3210418_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210418/ERR3210418_2.fastq.gz	807713442;838196241	dfb2b75e911851f2bd91d36702f05bad;ab773dbccc0cc6651ab60b91c55cd166	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210418/ERR3210418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210418/ERR3210418_2.fastq.gz	30909040	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210418/23169_1#3.cram
SAMEA5382979	PRJEB31618	ERR3210419	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210419/ERR3210419_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210419/ERR3210419_2.fastq.gz	694179818;727543542	6a0d9ad1f0c285a86f4fe1c1368fa44f;36c3ff1171bcedd73672866f57a67776	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210419/ERR3210419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210419/ERR3210419_2.fastq.gz	26554360	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210419/23169_1#4.cram
SAMEA5382980	PRJEB31618	ERR3210420	d9fd7b82-5c0d-11e7-86e3-68b599768938	ERS3189353	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105008W	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210420/ERR3210420_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210420/ERR3210420_2.fastq.gz	481953655;503475954	cd60f75d45b2e86aa985c59fc60d73e0;c059339f4c606bf8926e9b02a3facaaf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210420/ERR3210420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210420/ERR3210420_2.fastq.gz	18823950	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210420/23169_1#5.cram
SAMEA5382975	PRJEB31618	ERR3210421	da086272-5c0d-11e7-86e3-68b599768938	ERS3189348	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105010Q	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210421/ERR3210421_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210421/ERR3210421_2.fastq.gz	729532771;760159717	a4631f1114a1b4bbe56dca3049465325;ffafdb2c9790ab6a53236d08b60172ed	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210421/ERR3210421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210421/ERR3210421_2.fastq.gz	28065910	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210421/23169_1#7.cram
SAMEA5382982	PRJEB31618	ERR3210422	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210422/ERR3210422_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210422/ERR3210422_2.fastq.gz	590811352;607695008	76e6e2b32e4c0e80db908784e03daa24;6c838813da820aa9ed3dd6edaa54d090	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210422/ERR3210422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210422/ERR3210422_2.fastq.gz	22119458	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210422/23169_1#8.cram
SAMEA5382984	PRJEB31618	ERR3210423	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210423/ERR3210423_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210423/ERR3210423_2.fastq.gz	770523679;793631738	8b30b6351bc77fe80d6278c08fe7b6b0;0531f5b4769f368afae565ddbd2e532d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210423/ERR3210423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210423/ERR3210423_2.fastq.gz	29982898	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210423/23169_1#9.cram
SAMEA5382976	PRJEB31618	ERR3210424	d9e2e86c-5c0d-11e7-86e3-68b599768938	ERS3189349	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105004S	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210424/ERR3210424_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210424/ERR3210424_2.fastq.gz	620721621;650586209	cf78d3872263ff53d98c6c3f768efa5b;0c92ed1c9e89aed49357946d378535e6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210424/ERR3210424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210424/ERR3210424_2.fastq.gz	23986778	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210424/23169_2#1.cram
SAMEA5382977	PRJEB31618	ERR3210425	d9ebcc5c-5c0d-11e7-86e3-68b599768938	ERS3189350	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105005T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210425/ERR3210425_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210425/ERR3210425_2.fastq.gz	757008977;795974577	2d4717ed61ae40d3f45ac3564ca4f711;4c7dc67b26f794ae1520b89c99aa5bae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210425/ERR3210425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210425/ERR3210425_2.fastq.gz	28850190	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210425/23169_2#2.cram
SAMEA5382978	PRJEB31618	ERR3210426	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210426/ERR3210426_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210426/ERR3210426_2.fastq.gz	805270418;834227286	7be552bf5ee00796e35b0af69f8b72da;2e72fd4270f42face0d8c468686c6a51	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210426/ERR3210426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210426/ERR3210426_2.fastq.gz	30836174	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210426/23169_2#3.cram
SAMEA5382979	PRJEB31618	ERR3210427	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210427/ERR3210427_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210427/ERR3210427_2.fastq.gz	692167370;724706170	d59fc38da1b178dbb6a20cc0907122df;85b1aa9b8a9c92117eaccdd2b2b599e9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210427/ERR3210427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210427/ERR3210427_2.fastq.gz	26499222	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210427/23169_2#4.cram
SAMEA5382980	PRJEB31618	ERR3210428	d9fd7b82-5c0d-11e7-86e3-68b599768938	ERS3189353	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105008W	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210428/ERR3210428_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210428/ERR3210428_2.fastq.gz	480864611;501653292	74baab9f579acae7cd6a3a18a26c3cb6;269644dcc4ad6fb7edcf99c72c60ff7c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210428/ERR3210428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210428/ERR3210428_2.fastq.gz	18801262	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210428/23169_2#5.cram
SAMEA5382975	PRJEB31618	ERR3210429	da086272-5c0d-11e7-86e3-68b599768938	ERS3189348	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105010Q	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210429/ERR3210429_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210429/ERR3210429_2.fastq.gz	728174743;757782893	46df4943755bffcd64702e42340de666;a236337fd94183e4e3a2d575e86cb1e0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210429/ERR3210429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210429/ERR3210429_2.fastq.gz	28034068	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210429/23169_2#7.cram
SAMEA5382982	PRJEB31618	ERR3210430	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210430/ERR3210430_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210430/ERR3210430_2.fastq.gz	588587732;604687386	0cbb7932e9aa33b989747ae5c3d67ef4;99e18d4164782b52402de1aa57b8258b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210430/ERR3210430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210430/ERR3210430_2.fastq.gz	22045110	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210430/23169_2#8.cram
